time,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,acc1,acc2,acc3,acc4,acc5,acc6,bool_throw
0,0.0,0.3490658503988659,1.5707963267948966,-1.5707963267948966,1.2217304763960306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.001,0.0,0.34906583373219924,1.5707963101282298,-1.5707963267948966,1.221730459729364,-7.912494867454336e-38,0.0,-5e-05,-5e-05,-5.400022065026128e-29,-5e-05,-7.912494867454342e-35,0.0,-0.1,-0.1,0.0,-0.1,0.0,0
0.002,0.0,0.3490657170655326,1.5707961934615633,-1.5707963267948966,1.2217303430626973,-1.5824989734908675e-37,0.0,-0.0002,-0.0002,-5.400022065026128e-29,-0.0002,-7.912494867454342e-35,0.0,-0.2,-0.2,0.0,-0.2,0.0,0
0.003,0.0,0.3490654003988659,1.5707958767948966,-1.5707963267948966,1.2217300263960307,-2.373748460236302e-37,0.0,-0.00045,-0.00045,-5.400022065026128e-29,-0.00045,-7.912494867454342e-35,0.0,-0.3,-0.3,0.0,-0.3,0.0,0
0.004,0.0,0.34906478373219924,1.5707952601282298,-1.5707963267948966,1.2217294097293638,-3.1649979469817363e-37,0.0,-0.0008,-0.0008,-5.400022065026128e-29,-0.0008,-7.912494867454342e-35,0.0,-0.4,-0.4,0.0,-0.4,0.0,0
0.005,0.0,0.34906376706553255,1.5707942434615632,-1.5707963267948966,1.2217283930626972,-3.95624743372717e-37,0.0,-0.00125,-0.00125,-5.400022065026128e-29,-0.00125,-7.912494867454342e-35,0.0,-0.5,-0.5,0.0,-0.5,0.0,0
0.006,0.0,0.3490622503988659,1.5707927267948965,-1.5707963267948966,1.2217268763960305,-4.7474969204726045e-37,0.0,-0.0018,-0.0018,-5.400022065026128e-29,-0.0018,-7.912494867454342e-35,0.0,-0.6,-0.6,0.0,-0.6,0.0,0
0.007,0.0,0.34906013373219924,1.5707906101282298,-1.5707963267948966,1.221724759729364,-5.5387464072180386e-37,0.0,-0.0024500000000000004,-0.0024500000000000004,-5.400022065026128e-29,-0.0024500000000000004,-7.912494867454342e-35,0.0,-0.7000000000000001,-0.7000000000000001,0.0,-0.7000000000000001,0.0,0
0.008,0.0,0.34905731706553256,1.5707877934615633,-1.5707963267948966,1.2217219430626973,-6.329995893963473e-37,0.0,-0.0032,-0.0032,-5.400022065026128e-29,-0.0032,-7.912494867454342e-35,0.0,-0.8,-0.8,0.0,-0.8,0.0,0
0.009000000000000001,0.0,0.3490537003988659,1.5707841767948965,-1.5707963267948966,1.2217183263960305,-7.1212453807089076e-37,0.0,-0.004050000000000001,-0.004050000000000001,-5.400022065026128e-29,-0.004050000000000001,-7.912494867454342e-35,0.0,-0.9000000000000001,-0.9000000000000001,0.0,-0.9000000000000001,0.0,0
0.010000000000000002,0.0,0.34904918373219923,1.5707796601282298,-1.5707963267948966,1.2217138097293638,-7.912494867454342e-37,0.0,-0.005000000000000002,-0.005000000000000002,-5.400022065026128e-29,-0.005000000000000002,-7.912494867454342e-35,0.0,-1.0000000000000002,-1.0000000000000002,0.0,-1.0000000000000002,0.0,0
0.011000000000000003,0.0,0.3490436670655326,1.5707741434615632,-1.5707963267948966,1.2217082930626972,-8.703744354199777e-37,0.0,-0.006050000000000003,-0.006050000000000003,-5.400022065026128e-29,-0.006050000000000003,-7.912494867454342e-35,0.0,-1.1000000000000003,-1.1000000000000003,0.0,-1.1000000000000003,0.0,0
0.012000000000000004,0.0,0.3490370503988659,1.5707675267948966,-1.5707963267948966,1.2217016763960307,-9.494993840945212e-37,0.0,-0.007200000000000005,-0.007200000000000005,-5.400022065026128e-29,-0.007200000000000005,-7.912494867454342e-35,0.0,-1.2000000000000004,-1.2000000000000004,0.0,-1.2000000000000004,0.0,0
0.013000000000000005,0.0,0.34902923373219924,1.5707597101282298,-1.5707963267948966,1.2216938597293638,-1.0286243327690646e-36,0.0,-0.008450000000000006,-0.008450000000000006,-5.400022065026128e-29,-0.008450000000000006,-7.912494867454342e-35,0.0,-1.3000000000000005,-1.3000000000000005,0.0,-1.3000000000000005,0.0,0
0.014000000000000005,0.0,0.34902011706553254,1.5707505934615633,-1.5707963267948966,1.2216847430626974,-1.107749281443608e-36,0.0,-0.009800000000000008,-0.009800000000000008,-5.400022065026128e-29,-0.009800000000000008,-7.912494867454342e-35,0.0,-1.4000000000000006,-1.4000000000000006,0.0,-1.4000000000000006,0.0,0
0.015000000000000006,0.0,0.3490096003988659,1.5707400767948965,-1.5707963267948966,1.2216742263960305,-1.1868742301181516e-36,0.0,-0.01125000000000001,-0.01125000000000001,-5.400022065026128e-29,-0.01125000000000001,-7.912494867454342e-35,0.0,-1.5000000000000007,-1.5000000000000007,0.0,-1.5000000000000007,0.0,0
0.016000000000000007,0.0,0.34899758373219925,1.5707280601282299,-1.5707963267948966,1.221662209729364,-1.265999178792695e-36,0.0,-0.012800000000000011,-0.012800000000000011,-5.400022065026128e-29,-0.012800000000000011,-7.912494867454342e-35,0.0,-1.6000000000000008,-1.6000000000000008,0.0,-1.6000000000000008,0.0,0
